ioc,weight,ioc_class
https://saraacarter.com/doj-gave-embattled-bruce-ohr-42520-in-bonuses-after-being-demoted/,3,discredit_usa_institutions
https://www.foxnews.com/politics/romney-says-he-may-decline-to-endorse-trump-again,3,discredit_usa_institutions
https://youtu.be/7bfmSL9weq0,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/pathetic-mitt-romney-says-he-may-not-endorse-trump-in-2020/,3,discredit_usa_institutions
https://thefederalist.com/2019/05/29/mueller-just-proved-his-entire-operation-was-a-political-hit-job-that-trampled-the-rule-of-law/,3,discredit_usa_institutions
http://jwatch.us/fdpJxY,3,discredit_usa_institutions
https://www.realclearinvestigations.com/articles/2019/05/30/scorched_earth_lives_upturned_muellers_targets_speak_out.html,3,discredit_usa_institutions
https://www.zerohedge.com/news/2019-06-06/cummings-wife-funneled-money-charity-profit-company-financials-reveal,3,discredit_usa_institutions
https://trendingpolitics.com/scandals-grow-in-the-fbi-4-fbi-reports-were-never-written-on-hillary-clinton/?utm_source=star&utm_medium=twitter,3,discredit_usa_institutions
https://trendingpolitics.com/feinstein-had-private-dinner-with-iranian-prime-minister-then-lied-about-it/?utm_source=star&utm_medium=twitter,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/rand-paul-deep-state-defied-president-trumps-order-to-revoke-john-brennans-security-clearance-video/,3,discredit_usa_institutions
https://www.washingtonexaminer.com/politics/top-democrat-elijah-cummings-wife-may-have-gained-illegal-private-benefit-from-his-committee-activities,3,discredit_usa_institutions
https://www.dailywire.com/news/48088/yes-democrats-have-removed-so-help-me-god-house-paul-bois,3,discredit_usa_institutions
https://www.washingtonexaminer.com/policy/courts/federal-judge-who-blocked-trumps-border-wall-donated-20k-to-obama,3,discredit_usa_institutions
https://saraacarter.com/fbi-failed-to-document-four-clinton-witnesses-barr-should-reopen-clinton-probe/?utm_source=twitter&utm_medium=social&utm_campaign=social-pug,3,discredit_usa_institutions
https://dailycaller.com/2019/06/03/john-dowd-robert-mueller-transcript/,3,discredit_usa_institutions
https://www.nationalreview.com/2019/05/robert-mueller-investigation-was-always-impeachment-probe/,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/esteemed-nsa-whistleblower-bill-binney-says-he-has-evidence-dnc-was-not-hacked-the-mueller-report-and-the-rosenstein-indictment-is-all-based-on-lies/,3,discredit_usa_institutions
https://conservativeflash.com/2019/05/21/trump-to-release-the-names-of-sexual-predators-in-congress/,3,discredit_usa_institutions
https://www.breitbart.com/politics/2019/06/02/biden-present-at-russia-collusion-briefing-documented-in-odd-susan-rice-email/,3,discredit_usa_institutions
https://thefederalist.com/2019/06/04/obama-administration-ignore-reports-russian-election-meddling/,3,discredit_usa_institutions
https://bongino.com/report-docs-show-cummingss-wife-used-charity-to-enrich-her-llc/,3,discredit_usa_institutions
https://saraacarter.com/poll-98-percent-say-brennan-is-obstructing-justice-by-fighting-declassification/,3,discredit_usa_institutions
https://www.foxnews.com/politics/trump-gives-ag-barr-authority-to-declassify-documents-related-to-2016-campaign-surveillance,3,discredit_usa_institutions
https://dailycaller.com/2019/06/08/mark-meadows-fbi-investigation-flimsy/,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/just-in-muellers-star-witness-indicted-on-child-porn-charges/,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/developing-financial-documents-show-elijah-cummingss-wife-used-charity-to-enrich-her-for-profit-company/,3,discredit_usa_institutions
https://saraacarter.com/nunes-muellers-report-is-a-fraud-to-target-trump-transcripts-suggest-he-purposefully-left-out-information/,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/05/fbi-lawyer-squeals-like-a-pig-points-finger-at-comey-mccabe-and-yates-for-mishandling-of-fisa-warrant/,3,discredit_usa_institutions
https://trendingpolitics.com/report-mueller-and-weismann-caught-manipulating-flynn-transcript/?utm_source=star&utm_medium=twitter,3,discredit_usa_institutions
https://www.breitbart.com/2020-election/2019/06/05/donald-trump-jr-biden-incentivized-to-dismiss-china-threat-because-his-son-took-1-5-billion-from-china/,3,discredit_usa_institutions
https://saraacarter.com/adam-schiff-trump-is-stonewalling-by-declassifying-information/,3,discredit_usa_institutions
https://www.thegatewaypundit.com/2019/06/huge-evidence-and-actions-indicate-mueller-gang-is-illegally-withholding-brady-material-from-general-flynn-and-his-attorneys/,3,discredit_usa_institutions
