url,shared_count
https://www.gofundme.com/uqvdxv-gonzalez-family,52
https://www.gofundme.com/us-military-veterans-coin,52
https://www.gofundme.com/thetrumpwall?utm_source=facebook&utm_medium=social&utm_campaign=fb_dn_cpgnstaticxlarge_r&fbclid=IwAR1FesrSvtyS6dlIc6XjKnH6rCBLIxvyv7ipfipx4rywXuIwwPB98RJnreY,51
http://Gofundme.com/theteumpwall,51
http://Gofundme.com/theTrumpwall,50
http://gofundme.com/2nya4-domestic,49
https://www.gofundme.com/manage/sharyl-attkisson-4th-am-litigation,49
https://www.gofundme.com/i-lost-my-job-for-wearing-a-maga-hat,49
http://gofundme.com/6lu9of4,49
https://www.gofundme.com/Im-alive-by-miracle--Help-me,48
http://Gofundme.com/TheTrumpWall,48
https://www.gofundme.com/standwithcovington-and-the-unborn,48
https://uk.gofundme.com/ufbanjtp,48
https://www.gofundme.com/we-the-people-will-hold-socialmedia-accountable?teamInvite=8f3NVfsUU5I693ni9F46uUzmxindQn9l6x0yxcu91kDh3UteikuXj53gEGbacW1P,48
https://www.gofundme.com/aussies-bring-assange-home-posters,47
https://www.gofundme.com/an-inside-look-into-americana-now,47
https://www.gofundme.com/fighting-fbi-discrimination-and-cor,46
http://www.gofundme.com/rbjrjg,46
https://www.gofundme.com/Landonprayers,45
https://www.gofundme.com/TheTrumpWall?pc=tw_dn_cpgnsharemore_r&rcid=r01-154531623986-63749d6e2c084caf,45
https://www.gofundme.com/divorce-and-escape-domestic-abuse,45
https://www.gofundme.com/heart-surgery-have-bulging-disk-fluid?sharetype=teams&member=2360926&rcid=r01-155989799415-88007b26d63c4fd2&pc=ot_co_campmgmt_m,44
https://www.gofundme.com/ayuda-para-yore-muller?pc=tw_dn_cpgnsharemore_r&rcid=r01-156111958283-c12e142b17e54374,44
https://www.gofundme.com/kuf23298?pc=tw_dn_cpgnsharemore_r&rcid=r01-150601370567-1e08d04376434ea2,44
https://www.gofundme.com/the-juanita-broaddrick-story,43
https://www.gofundme.com/please-help-this-vet-keep-his-home,43
https://www.gofundme.com/TheTrumpWall?pc=tw_dn_cpgnsharemore_r&rcid=r01-154529262547-be4ecc26f846463c,43
https://www.gofundme.com/f/vg3fq-please-help-us-with-legal-fees,43
https://www.gofundme.com/masterpiece-cakeshop,42
https://www.gofundme.com/2k8mu29x,42
https://www.gofundme.com/hhbdy-help-us-buy-a-house,41
https://www.gofundme.com/TheTrumpWall?viewupdates=1&rcid=r01-154532958163-2d0213b033fa4514&utm_source=internal&utm_medium=email&utm_content=cta_button&utm_campaign=upd_n,41
https://www.gofundme.com/vic-kicks-back,41
https://www.gofundme.com/marchfortrump,40
https://www.gofundme.com/rrpsv-i-need-help,40
https://www.gofundme.com/corks4cows,40
http://www.gofundme.com/4ahy08,39
https://www.gofundme.com/cxccz8-help-me-go-to-camp,38
https://www.gofundme.com/f/ayuda-familia-del-cc-rafael-acosta-arevalo?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,38
https://www.gofundme.com/f/the-wounded-blue,38
https://www.gofundme.com/kuf23298,37
https://www.gofundme.com/home-for-pastors,37
https://www.gofundme.com/65hpb48,37
https://www.gofundme.com/2e8v7e2c,37
https://www.gofundme.com/Escape-from-Nepal-David-Sita?pc=tw_u,36
https://www.gofundme.com/f/combating-antisemitism-in-america,36
https://www.gofundme.com/JenniferOHelpwithLegalMedical-SaveOurHome,36
https://www.gofundme.com/911remembered,36
https://www.gofundme.com/prolifephilly,35
https://www.gofundme.com/TheTrumpWall?pc=tw_dn_cpgnsharemore_r&rcid=r01-156011583704-b479542f9aac4556,35
https://www.gofundme.com/TheTrumpWall/donate,34
https://www.gofundme.com/john-francis-quotthe-captainquot,34
https://www.gofundme.com/help-the-president-move-refugees-2-sanctuaries&rcid=r01-155520422302-1212878e6669491d&pc=tw_co_campmgmt_w,34
https://www.gofundme.com/f/army-family-moving-truck-fire-total-loss,34
https://www.gofundme.com/landonprayers,34
https://www.gofundme.com/f/jarheads-mc-victims-and-families-support?fbclid=IwAR0IuwyWSvliLPiylUSWnET_xnTsn642KLioJQvdDXyirZ4qsNd6ngXS68A,33
https://www.gofundme.com/help-wikileaks-fight-the-dnc,33
https://www.gofundme.com/dissident-cemeteries,33
https://www.gofundme.com/raykenn59,33
